point_cloud,n_pts,dim,filtration,tau_q,tau
layer_mix_sigmas_0.5_1.0_1.5,100,20,dtm,0.95,0.6003884264733553
layer_mix_sigmas_0.25_1.0_2.0,10,5,vr,0.95,2.2530069814441487
layer_mix_sigmas_0.25_1.0_2.0,10,5,dtm,0.95,1.2181500628912576
layer_mix_sigmas_0.25_1.0_2.0,10,10,vr,0.95,2.203488722254661
layer_mix_sigmas_0.25_1.0_2.0,10,10,dtm,0.95,1.223193801575642
layer_mix_sigmas_0.25_1.0_2.0,10,20,vr,0.95,2.251002492891556
layer_mix_sigmas_0.25_1.0_2.0,10,20,dtm,0.95,1.2590137044615546
layer_mix_sigmas_0.25_1.0_2.0,50,5,vr,0.95,1.6609946692948847
layer_mix_sigmas_0.25_1.0_2.0,50,5,dtm,0.95,0.5680509911690664
layer_mix_sigmas_0.25_1.0_2.0,50,10,vr,0.95,1.936266173512218
layer_mix_sigmas_0.25_1.0_2.0,50,10,dtm,0.95,0.48082273383778823
layer_mix_sigmas_0.25_1.0_2.0,50,20,vr,0.95,2.082624416319099
layer_mix_sigmas_0.25_1.0_2.0,50,20,dtm,0.95,0.4126316999063474
layer_mix_sigmas_0.25_1.0_2.0,100,5,vr,0.95,1.4495126530808653
layer_mix_sigmas_0.25_1.0_2.0,100,5,dtm,0.95,0.648249759533749
layer_mix_sigmas_0.25_1.0_2.0,100,10,vr,0.95,1.813883599347278
layer_mix_sigmas_0.25_1.0_2.0,100,10,dtm,0.95,0.5122712225121165
layer_mix_sigmas_0.25_1.0_2.0,100,20,vr,0.95,2.0046329518703097
layer_mix_sigmas_0.25_1.0_2.0,100,20,dtm,0.95,0.41748396450897085
